# PathPlanner CSV Format:
# timeSeconds, positionMeters, velocityMetersPerSecond, accelerationMetersPerSecondSq, headingDegrees, holonomicRotationDegrees, curvatureRadPerMeter, curveRadiusMeters, angularVelocityDegreesPerSec, angularAccelerationDegreesPerSecSq
 0.0,0.0,0,0.0,-104.13990909611998,0.0,-7.831110633233207,-0.12769580801939623,0.0,0.0
 0.05129125234526558,0.005261585134291425,0.10258250469053118,2.0000000000000004,-104.13990909611998,0.0,-7.831110633233207,-0.12769580801939623,0.0,0.0
 0.07218232699106493,0.010420576659690043,0.24694715867266107,6.910350780406496,-106.47787346731683,0.0,-8.226609715170708,-0.12155675723328625,-111.91211609915618,-5356.934384496051
 0.0879955432112737,0.01548643125009428,0.3203557404046775,4.642229683687161,-108.88779184368323,0.0,-8.601834219374387,-0.11625427490193249,-152.3990023792011,-2560.3195274282034
 0.1011654388215183,0.020468892023900728,0.378321964065584,4.401418612294523,-111.36413468954166,0.0,-8.948454603566573,-0.11175113964387005,-188.03055993337807,-2705.530750483695
 0.11264535710350118,0.02537795295395061,0.42762159185003873,4.294423233118989,-113.90007624194808,0.0,-9.258043308296328,-0.10801418471480674,-220.9024045394509,-2863.4214807664116
 0.12293049889199288,0.030223815115668524,0.4711517119909876,4.232330582905118,-116.48753004038723,0.0,-9.522499133158956,-0.10501444904498133,-251.57201054187775,-2981.9332230056193
 0.13231937732537047,0.03501683523154753,0.5104997524347267,4.190920217249407,-119.1172431902513,0.0,-9.734510720655832,-0.10272729967599524,-280.0881030172259,-3037.220332300079
 0.14100969369820135,0.03976746743372113,0.5466581420471437,4.160767923876905,-121.7789513089909,0.0,-9.888016350618543,-0.1011325188532324,-306.28437499249986,-3014.4209774885976
 0.14914120762504962,0.04448619962371632,0.5803018026465021,4.1374411827882716,-124.46159079578625,0.0,-9.978610849688714,-0.10021434997950596,-329.90652305691043,-2905.0123109813535
 0.15681754718511232,0.04918348621030986,0.6119175096203242,4.118591514412357,-127.15355936962487,0.0,-10.003851677732396,-0.09996149805238548,-350.68388426223055,-2706.6756287615854
 0.16425072521076206,0.0538696793040086,0.6304427362735086,2.492235029116638,-129.84301058166042,0.0,-9.963426059508729,-0.10036708196831919,-361.8171396884389,-1497.7786604586452
 0.17162579792274124,0.058554960600782475,0.635286115778041,0.6567229495467067,-132.51816410342354,0.0,-9.85915814767384,-0.10142853832159483,-362.72910467959645,-123.65505084122985
 0.17896474502635962,0.06324927617569412,0.6396442852949805,0.593841249351808,-135.16761171968562,0.0,-9.69485648381688,-0.10314747842520908,-361.01195155852804,233.97813021732213
 0.18626019776379737,0.06796227622848093,0.646018858925823,0.8737735491219567,-137.7805994692584,0.0,-9.476023069941418,-0.10552950247367666,-358.1666338764435,390.01248921582624
 0.19350526888239628,0.07270326149926008,0.6543738761388439,1.1532001654990858,-140.34726917636962,0.0,-9.209461950134857,-0.10858397650313943,-354.2642529101369,538.6256259498571
 0.20069363135332488,0.07748113764284627,0.6646682276956702,1.4320857634070447,-142.8588471867758,0.0,-8.90283435998682,-0.1123237790983096,-349.3950145896984,677.377961967111
 0.20781957547649618,0.08230437836472873,0.6768563769955507,1.7103908042512506,-145.30777366506558,0.0,-8.564208288060707,-0.11676502560010035,-343.6634410767657,804.3247903523994
 0.21487804414336062,0.08718099763200407,0.6908891287097922,1.9880731043147484,-147.68777143528567,0.0,-8.201643797147526,-0.12192677769641655,-337.1833017256058,918.0658946012757
 0.22186464739765205,0.09211853082389196,0.7067144093025568,2.2650893455334087,-149.9938582823369,0.0,-7.822844121133629,-0.12783074601965702,-330.0726781121778,1017.7511667147174
 0.22877565849107992,0.09712402431185578,0.7242780282502904,2.541396433936563,-152.22231034378729,0.0,-7.434889367237053,-0.13450099263166562,-322.44949853568926,1103.048377933867
 0.23560799432647517,0.10220403267772266,0.7435243946220625,2.8169526257865414,-154.3705864827444,0.0,-7.0440572314363115,-0.14196363929827072,-314.42777268468456,1174.082487199733
 0.2423591835204592,0.10736462259431485,0.7643971703815944,3.091718386166912,-156.43722438421807,0.0,-6.6557252607677,-0.15024658633290036,-306.1146476705583,1231.3571394998073
 0.24902732534997324,0.11261138230073187,0.7868398484258684,3.3656569728226122,-158.4217187983847,0.0,-6.274342660871213,-0.1593792456118657,-297.6083090169111,1275.6685252249927
 0.2556110426434952,0.1179494355896745,0.8107962494372273,3.638734766896916,-160.3243912025992,0.0,-5.903456398793476,-0.1693922902868184,-288.99667458179727,1308.0200821483
 0.26210995375291535,0.12338345926952088,0.8361437152094289,3.9002634972896586,-162.14625852122228,0.0,-5.54577580489498,-0.18031742269807405,-280.3342418366498,1332.9052512491435
 0.26853032229770624,0.12891770315100262,0.8619822745178553,4.024466684142341,-163.88890673544313,0.0,-5.203261204747883,-0.19218716121487767,-271.424950462498,1387.6604297708668
 0.2748831409659286,0.13455601172059545,0.8875286489438777,4.021266111971505,-165.55437346307843,0.0,-4.8772245057789565,-0.2050346459989926,-262.1618551724429,1458.1079318996249
 0.28117771540869324,0.14030184678634708,0.9128234351658551,4.0185061678081535,-167.14504203953268,0.0,-4.568432447623038,-0.21889346323163902,-252.70470480854632,1502.42886947936
 0.28742193897295226,0.14615831050618344,0.9379010311798994,4.016127186346221,-168.66354835876834,0.0,-4.277205940271072,-0.2337974869493013,-243.18577059401878,1524.4384056029794
 0.2936225163521518,0.15212816832648274,0.9627906330668138,4.014078103501943,-170.11270075699,0.0,-4.003511281114122,-0.24978073740352089,-233.7124931434525,1527.8056979573082
