# PathPlanner CSV Format:
# timeSeconds, positionMeters, velocityMetersPerSecond, accelerationMetersPerSecondSq, headingDegrees, holonomicRotationDegrees, curvatureRadPerMeter, curveRadiusMeters, angularVelocityDegreesPerSec, angularAccelerationDegreesPerSecSq
 0.8224260839870529,1.484253907273033,3.5126458025249785,5.00706578267889,157.85568744545222,0.0,0.05414735420495911,18.4681230446605,9.081849860842173,761.1723044490584
 0.8248400136907313,1.4927623637315908,3.5247324914193325,5.007059184836929,157.88207608893345,0.0,0.06313166770543832,15.839911035866036,10.931819365328243,766.3725673813035
 0.8272471525884522,1.501275896870144,3.5367851629227864,5.007052777413838,157.912861873429,0.0,0.07209381205498272,13.87081597568103,12.789367711482965,771.6830748377373
 0.8296475257835265,1.5097943507298668,3.5488039431546983,5.007046511173661,157.9480386425916,0.0,0.08103530726159985,12.340299972847383,14.654708374009273,777.1044379074248
 0.8320411581867512,1.5183175705587468,3.5607889571505345,5.007040337392744,157.98760072772777,0.0,0.08995764495064851,11.116342591545255,16.528053799267727,782.6370593641365
 0.8344280745639322,1.5268454029616945,3.572740329101557,5.0070342075148,158.03154293916532,0.0,0.09886228484800567,10.115080806977453,18.409614956613275,788.2811376775974
 0.8368082995823793,1.5353776960504781,3.5846581825907036,5.007028073724562,158.07986055699084,0.0,0.1077506534653356,9.280686175343794,20.2996008575069,794.0366504199865
 0.8391837700699399,1.543914299593522,3.5936474848863433,3.784219733612021,158.1325493212027,0.0,0.11662414245604863,8.574553938322534,22.180348898364553,791.7370688065346
 0.8415623232229069,1.5524550651656095,3.5907398417537353,-1.222441940799638,158.18960542128193,0.0,0.1254841075146006,7.9691366485086235,23.987733891102895,759.8673969021172
 0.8439499175842544,1.56099984629752,3.5788244729678986,-4.990533140274259,158.25102548513144,0.0,0.13433186623684498,7.444250035482026,25.724664475609327,727.4814401580983
 0.8463466035454175,1.569548498625641,3.5668637721616316,-4.9905164882189155,158.31680656743907,0.0,0.14316869663570697,6.984767085953866,27.446684035191176,718.5002906038633
 0.8487524331620255,1.578100880041586,3.5548574832173685,-4.990498438202192,158.38694613741035,0.0,0.15199583501560338,6.579127644499886,29.15400554016604,709.6601908916487
 0.8511674602311219,1.586656850841855,3.542805341503014,-4.990478934409739,158.4614420659217,0.0,0.16081447496726647,6.218345706775142,30.846829613061534,700.9544922115135
 0.8535917403703572,1.5952162738775557,3.53070707348221,-4.990457919858918,158.54029261199938,0.0,0.1696257653673378,5.895330805638059,32.52534424612758,692.3765145374133
 0.8560253310992455,1.603779014704235,3.518562396311803,-4.990435337479708,158.6234964087434,0.0,0.17843080834793124,5.604413325584725,34.18972457297058,683.9195708159772
 0.8584682919225605,1.612344941731827,3.506371017431404,-4.990411129007003,158.7110524485564,0.0,0.18723065783094223,5.341005642905653,35.84013258721788,675.5769468328095
 0.860920684415968,1.6209139263747612,3.4941326341395427,-4.990385235952293,158.8029600677826,0.0,0.19602631731643386,5.101355846958846,37.47671690941691,667.3419228767167
 0.8633825723139806,1.6294858432022425,3.4818469331610022,-4.990357598515448,158.89921893066892,0.0,0.20481873833203978,4.8823657842226345,39.09961252258075,659.2077626580624
 0.8658540216003331,1.638060570088733,3.4695135902001923,-4.99032815640427,158.99982901268245,0.0,0.2136088190350111,4.681454653967714,40.70894052696916,651.1677230341102
 0.868335100600877,1.6466379883646496,3.4571322694828,-4.9902968485395665,159.10479058316452,0.0,0.22239740143623254,4.496455415135449,42.30480789166871,643.2150545587924
 0.870825880079099,1.6552179829673075,3.444702623285912,-4.990263612482028,159.21410418731983,0.0,0.23118526970630734,4.32553510554707,43.88730721089403,635.3430052968715
 0.8733264333343664,1.6638004425921062,3.4322242914521968,-4.990228385430177,159.3277706274895,0.0,0.23997314817877113,4.167132896281533,45.45651644500295,627.5448166534217
 0.8758368363030176,1.6723852598439937,3.4196969008924336,-4.990191103261118,159.44579094378014,0.0,0.24876169982764426,4.01991142805687,47.012498696187784,619.8137393140853
 0.8783571676624092,1.680972331389208,3.407120065072306,-4.990151700990276,159.5681663939552,0.0,0.2575515233135547,3.8827182504471365,48.55530195228196,612.1430225216758
 0.8808875089380426,1.6895615581073036,3.394493383484691,-4.990110112500465,159.6948984326276,0.0,0.26634315180889145,3.754554953669421,50.08495885231545,604.5259249271089
 0.8834279446138975,1.698152845243482,3.3818164411059812,-4.990066270598826,159.82598868972866,0.0,0.2751370500120783,3.634552307499484,51.60148644854547,596.955715369439
 0.885978562246104,1.7067461025612178,3.3690888078358583,-4.990020107056286,159.96143894825028,0.0,0.2839336126745565,3.521950045224817,53.104885974011594,589.4256773272308
 0.8885394525800906,1.7153412444951903,3.3563100379204482,-4.989971552400416,160.10125112122947,0.0,0.29273316185016574,3.4160803432029536,54.59514260477487,581.9291091795371
 0.8911107096713522,1.7239381903045143,3.343479669357324,-4.989920536039763,160.24542722802153,0.0,0.30153594523070487,3.316354205250392,56.072225248121164,574.4593367836104
 0.8936924310099912,1.7325368642262748,3.3305972232826213,-4.989866985990853,160.3939693697586,0.0,0.3103421333772361,3.2222501956717906,57.53608629790284,567.0097031282953
 0.8962847176491852,1.7411371956293467,3.3176622033379513,-4.989810829211375,160.5468797040943,0.0,0.3191518175666697,3.1333050446786297,58.98666143773763,559.5735895494246
 0.8988876743377487,1.749739119168498,3.3046740950185076,-4.989751991075576,160.70416041913273,0.0,0.32796500760282704,3.0491057790257377,60.423869413373986,552.1444063786803
 0.9015014096569637,1.758342574938767,3.2916323649990438,-4.989690395805289,160.86581370662614,0.0,0.33678162921063354,2.9692830999833704,61.8476118469344,544.7156118271577
 0.9041260361618536,1.7669475086300828,3.278536460438875,-4.989625966121253,161.03184173430637,0.0,0.3456015222864156,2.8935057733086453,63.25777300918727,537.2806986539251
 0.9067616705270991,1.775553871682127,3.2653858082635345,-4.989558623438068,161.20224661751485,0.0,0.35442443758082676,2.8214758745916027,64.654219665479,529.8332252401286
 0.9094084336977888,1.7841616214394038,3.2521798144235823,-4.989488287503672,161.37703038996753,0.0,0.36325003514229054,2.7529247164650235,66.0368008699251,522.3667987211032
 0.9120664510452148,1.792770721306487,3.238917863128375,-4.989414876486894,161.55619497374025,0.0,0.37207788159479865,2.687609367463081,67.40534780414956,514.8750949837679
